country,lpi_score,lpi_rank,customs_score,customs_rank,infrastructure_score,infrastructure_rank,international_shipments_score,international_shipments_rank,logistics_competence_and_quality_score,logistics_competence_and_quality_rank,timeliness_score,timeliness_rank,tracking_and_tracing_score,tracking_and_tracing_rank,year
Mexico,3.11,54,2.88,54,2.89,57,3.0,61,3.14,48,3.38,68,3.4,42,2016
Moldova,2.61,93,2.39,99,2.35,100,2.6,94,2.48,103,3.16,86,2.67,85,2016
Mongolia,2.51,108,2.39,100,2.05,140,2.37,129,2.31,129,3.4,65,2.47,108,2016
Montenegro,2.38,123,2.22,125,2.07,138,2.56,101,2.31,127,2.69,131,2.37,117,2016
Netherlands,4.19,4,4.12,3,4.29,2,3.94,6,4.22,3,4.41,5,4.17,6,2016
New Zealand,3.39,37,3.18,37,3.55,29,2.77,80,3.22,41,4.12,19,3.58,32,2016
Nigeria,2.63,90,2.46,92,2.4,96,2.43,118,2.74,74,3.04,95,2.7,82,2016
Norway,3.73,22,3.57,20,3.95,17,3.62,25,3.7,24,3.77,39,3.82,22,2016
Oman,3.23,48,2.76,61,3.44,34,3.35,40,3.26,38,3.5,57,3.09,57,2016
Panama,3.34,40,3.13,42,3.28,38,3.65,16,3.18,45,3.74,41,2.95,63,2016
Papua New Guinea,2.51,105,2.55,85,2.32,106,2.46,114,2.35,121,2.78,120,2.58,93,2016
Paraguay,2.56,101,2.38,103,2.45,92,2.58,96,2.69,78,2.93,107,2.3,126,2016
Peru,2.89,69,2.76,63,2.62,75,2.91,68,2.87,64,3.23,80,2.94,65,2016
Philippines,2.86,71,2.61,78,2.55,82,3.01,60,2.7,77,3.35,70,2.86,73,2016
Poland,3.43,33,3.27,33,3.17,45,3.44,33,3.39,31,3.8,37,3.46,37,2016
Portugal,3.41,36,3.37,30,3.09,49,3.24,47,3.15,47,3.95,27,3.65,29,2016
Qatar,3.6,30,3.55,21,3.57,28,3.58,26,3.54,29,3.83,35,3.5,35,2016
Romania,2.99,60,3.0,50,2.88,58,3.06,57,2.82,67,3.22,81,2.95,64,2016
Russian Federation,2.57,99,2.01,141,2.43,94,2.45,115,2.76,72,3.15,87,2.62,90,2016
Rwanda,2.99,62,2.93,52,2.62,76,3.05,59,2.87,63,3.35,69,3.04,58,2016
Saudi Arabia,3.16,52,2.69,68,3.24,40,3.23,48,3.0,54,3.53,53,3.25,49,2016
Serbia,2.76,76,2.5,87,2.49,85,2.63,90,2.79,69,3.23,79,2.92,66,2016
Singapore,4.14,5,4.18,1,4.2,6,3.96,5,4.09,5,4.4,6,4.05,10,2016
Slovak Republic,3.34,41,3.28,32,3.24,39,3.41,36,3.12,51,3.81,36,3.12,55,2016
Slovenia,3.18,50,2.88,53,3.19,43,3.1,53,3.2,44,3.47,60,3.27,46,2016
Solomon Islands,2.42,116,2.6,79,2.21,124,2.28,139,2.43,112,2.76,121,2.18,132,2016
South Africa,3.78,20,3.6,18,3.78,21,3.62,23,3.75,22,4.02,24,3.92,17,2016
Spain,3.73,23,3.48,24,3.72,25,3.63,22,3.73,23,4.0,26,3.82,23,2016
Sudan,2.53,103,2.23,122,2.2,126,2.57,100,2.36,118,3.28,75,2.49,104,2016
Sweden,4.2,3,3.92,8,4.27,3,4.0,4,4.25,2,4.45,3,4.38,1,2016
Switzerland,3.99,11,3.88,10,4.19,7,3.69,14,3.95,14,4.24,14,4.04,12,2016
Syrian Arab Republic,1.6,160,1.11,160,1.24,160,1.36,160,1.39,160,2.4,147,2.1,138,2016
Tajikistan,2.06,153,1.93,150,2.13,130,2.12,151,2.12,143,2.04,159,2.04,144,2016
Thailand,3.26,45,3.11,46,3.12,46,3.37,38,3.14,49,3.56,52,3.2,50,2016
Togo,2.62,92,2.49,89,2.24,117,2.62,93,2.46,106,3.24,76,2.6,91,2016
Ukraine,2.74,80,2.3,116,2.49,84,2.59,95,2.55,95,3.51,54,2.96,61,2016
United Arab Emirates,3.94,13,3.84,12,4.07,13,3.89,7,3.82,18,4.13,18,3.91,18,2016
United Kingdom,4.07,8,3.98,5,4.21,5,3.77,11,4.05,7,4.33,8,4.13,7,2016
United States,3.99,10,3.75,16,4.15,8,3.65,19,4.01,8,4.25,11,4.2,5,2016
Uruguay,2.97,65,2.78,58,2.79,61,2.91,69,3.01,53,3.47,59,2.84,74,2016
Uzbekistan,2.4,118,2.32,114,2.45,91,2.36,130,2.39,116,2.83,114,2.05,143,2016
Venezuela,2.39,122,1.99,145,2.35,102,2.47,113,2.34,122,2.71,127,2.48,106,2016
Vietnam,2.98,64,2.75,64,2.7,70,3.12,50,2.88,62,3.5,56,2.84,75,2016
Zimbabwe,2.08,151,2.0,144,2.21,123,2.08,153,2.13,141,2.13,158,1.95,150,2016
